"pais","ano","pop","continente","expVida","pibPercap"
"Argentina",1952,17876956,"Americas",62.485,5911.315053
"Argentina",1957,19610538,"Americas",64.399,6856.856212
"Argentina",1962,21283783,"Americas",65.142,7133.166023
"Argentina",1967,22934225,"Americas",65.634,8052.953021
"Argentina",1972,24779799,"Americas",67.065,9443.038526
"Argentina",1977,26983828,"Americas",68.481,10079.02674
"Argentina",1982,29341374,"Americas",69.942,8997.897412
"Argentina",1987,31620918,"Americas",70.774,9139.671389
"Argentina",1992,33958947,"Americas",71.868,9308.41871
"Argentina",1997,36203463,"Americas",73.275,10967.28195
"Argentina",2002,38331121,"Americas",74.34,8797.640716
"Argentina",2007,40301927,"Americas",75.32,12779.37964
"Bolivia",1952,2883315,"Americas",40.414,2677.326347
"Bolivia",1957,3211738,"Americas",41.89,2127.686326
"Bolivia",1962,3593918,"Americas",43.428,2180.972546
"Bolivia",1967,4040665,"Americas",45.032,2586.886053
"Bolivia",1972,4565872,"Americas",46.714,2980.331339
"Bolivia",1977,5079716,"Americas",50.023,3548.097832
"Bolivia",1982,5642224,"Americas",53.859,3156.510452
"Bolivia",1987,6156369,"Americas",57.251,2753.69149
"Bolivia",1992,6893451,"Americas",59.957,2961.699694
"Bolivia",1997,7693188,"Americas",62.05,3326.143191
"Bolivia",2002,8445134,"Americas",63.883,3413.26269
"Bolivia",2007,9119152,"Americas",65.554,3822.137084
"Brazil",1952,56602560,"Americas",50.917,2108.944355
"Brazil",1957,65551171,"Americas",53.285,2487.365989
"Brazil",1962,76039390,"Americas",55.665,3336.585802
"Brazil",1967,88049823,"Americas",57.632,3429.864357
"Brazil",1972,100840058,"Americas",59.504,4985.711467
"Brazil",1977,114313951,"Americas",61.489,6660.118654
"Brazil",1982,128962939,"Americas",63.336,7030.835878
"Brazil",1987,142938076,"Americas",65.205,7807.095818
"Brazil",1992,155975974,"Americas",67.057,6950.283021
"Brazil",1997,168546719,"Americas",69.388,7957.980824
"Brazil",2002,179914212,"Americas",71.006,8131.212843
"Brazil",2007,190010647,"Americas",72.39,9065.800825
"Canada",1952,14785584,"Americas",68.75,11367.16112
"Canada",1957,17010154,"Americas",69.96,12489.95006
"Canada",1962,18985849,"Americas",71.3,13462.48555
"Canada",1967,20819767,"Americas",72.13,16076.58803
"Canada",1972,22284500,"Americas",72.88,18970.57086
"Canada",1977,23796400,"Americas",74.21,22090.88306
"Canada",1982,25201900,"Americas",75.76,22898.79214
"Canada",1987,26549700,"Americas",76.86,26626.51503
"Canada",1992,28523502,"Americas",77.95,26342.88426
"Canada",1997,30305843,"Americas",78.61,28954.92589
"Canada",2002,31902268,"Americas",79.77,33328.96507
"Canada",2007,33390141,"Americas",80.653,36319.23501
"Chile",1952,6377619,"Americas",54.745,3939.978789
"Chile",1957,7048426,"Americas",56.074,4315.622723
"Chile",1962,7961258,"Americas",57.924,4519.094331
"Chile",1967,8858908,"Americas",60.523,5106.654313
"Chile",1972,9717524,"Americas",63.441,5494.024437
"Chile",1977,10599793,"Americas",67.052,4756.763836
"Chile",1982,11487112,"Americas",70.565,5095.665738
"Chile",1987,12463354,"Americas",72.492,5547.063754
"Chile",1992,13572994,"Americas",74.126,7596.125964
"Chile",1997,14599929,"Americas",75.816,10118.05318
"Chile",2002,15497046,"Americas",77.86,10778.78385
"Chile",2007,16284741,"Americas",78.553,13171.63885
"Colombia",1952,12350771,"Americas",50.643,2144.115096
"Colombia",1957,14485993,"Americas",55.118,2323.805581
"Colombia",1962,17009885,"Americas",57.863,2492.351109
"Colombia",1967,19764027,"Americas",59.963,2678.729839
"Colombia",1972,22542890,"Americas",61.623,3264.660041
"Colombia",1977,25094412,"Americas",63.837,3815.80787
"Colombia",1982,27764644,"Americas",66.653,4397.575659
"Colombia",1987,30964245,"Americas",67.768,4903.2191
"Colombia",1992,34202721,"Americas",68.421,5444.648617
"Colombia",1997,37657830,"Americas",70.313,6117.361746
"Colombia",2002,41008227,"Americas",71.682,5755.259962
"Colombia",2007,44227550,"Americas",72.889,7006.580419
"Costa Rica",1952,926317,"Americas",57.206,2627.009471
"Costa Rica",1957,1112300,"Americas",60.026,2990.010802
"Costa Rica",1962,1345187,"Americas",62.842,3460.937025
"Costa Rica",1967,1588717,"Americas",65.424,4161.727834
"Costa Rica",1972,1834796,"Americas",67.849,5118.146939
"Costa Rica",1977,2108457,"Americas",70.75,5926.876967
"Costa Rica",1982,2424367,"Americas",73.45,5262.734751
"Costa Rica",1987,2799811,"Americas",74.752,5629.915318
"Costa Rica",1992,3173216,"Americas",75.713,6160.416317
"Costa Rica",1997,3518107,"Americas",77.26,6677.045314
"Costa Rica",2002,3834934,"Americas",78.123,7723.447195
"Costa Rica",2007,4133884,"Americas",78.782,9645.06142
"Cuba",1952,6007797,"Americas",59.421,5586.53878
"Cuba",1957,6640752,"Americas",62.325,6092.174359
"Cuba",1962,7254373,"Americas",65.246,5180.75591
"Cuba",1967,8139332,"Americas",68.29,5690.268015
"Cuba",1972,8831348,"Americas",70.723,5305.445256
"Cuba",1977,9537988,"Americas",72.649,6380.494966
"Cuba",1982,9789224,"Americas",73.717,7316.918107
"Cuba",1987,10239839,"Americas",74.174,7532.924763
"Cuba",1992,10723260,"Americas",74.414,5592.843963
"Cuba",1997,10983007,"Americas",76.151,5431.990415
"Cuba",2002,11226999,"Americas",77.158,6340.646683
"Cuba",2007,11416987,"Americas",78.273,8948.102923
"Dominican Republic",1952,2491346,"Americas",45.928,1397.717137
"Dominican Republic",1957,2923186,"Americas",49.828,1544.402995
"Dominican Republic",1962,3453434,"Americas",53.459,1662.137359
"Dominican Republic",1967,4049146,"Americas",56.751,1653.723003
"Dominican Republic",1972,4671329,"Americas",59.631,2189.874499
"Dominican Republic",1977,5302800,"Americas",61.788,2681.9889
"Dominican Republic",1982,5968349,"Americas",63.727,2861.092386
"Dominican Republic",1987,6655297,"Americas",66.046,2899.842175
"Dominican Republic",1992,7351181,"Americas",68.457,3044.214214
"Dominican Republic",1997,7992357,"Americas",69.957,3614.101285
"Dominican Republic",2002,8650322,"Americas",70.847,4563.808154
"Dominican Republic",2007,9319622,"Americas",72.235,6025.374752
"Ecuador",1952,3548753,"Americas",48.357,3522.110717
"Ecuador",1957,4058385,"Americas",51.356,3780.546651
"Ecuador",1962,4681707,"Americas",54.64,4086.114078
"Ecuador",1967,5432424,"Americas",56.678,4579.074215
"Ecuador",1972,6298651,"Americas",58.796,5280.99471
"Ecuador",1977,7278866,"Americas",61.31,6679.62326
"Ecuador",1982,8365850,"Americas",64.342,7213.791267
"Ecuador",1987,9545158,"Americas",67.231,6481.776993
"Ecuador",1992,10748394,"Americas",69.613,7103.702595
"Ecuador",1997,11911819,"Americas",72.312,7429.455877
"Ecuador",2002,12921234,"Americas",74.173,5773.044512
"Ecuador",2007,13755680,"Americas",74.994,6873.262326
"El Salvador",1952,2042865,"Americas",45.262,3048.3029
"El Salvador",1957,2355805,"Americas",48.57,3421.523218
"El Salvador",1962,2747687,"Americas",52.307,3776.803627
"El Salvador",1967,3232927,"Americas",55.855,4358.595393
"El Salvador",1972,3790903,"Americas",58.207,4520.246008
"El Salvador",1977,4282586,"Americas",56.696,5138.922374
"El Salvador",1982,4474873,"Americas",56.604,4098.344175
"El Salvador",1987,4842194,"Americas",63.154,4140.442097
"El Salvador",1992,5274649,"Americas",66.798,4444.2317
"El Salvador",1997,5783439,"Americas",69.535,5154.825496
"El Salvador",2002,6353681,"Americas",70.734,5351.568666
"El Salvador",2007,6939688,"Americas",71.878,5728.353514
"Guatemala",1952,3146381,"Americas",42.023,2428.237769
"Guatemala",1957,3640876,"Americas",44.142,2617.155967
"Guatemala",1962,4208858,"Americas",46.954,2750.364446
"Guatemala",1967,4690773,"Americas",50.016,3242.531147
"Guatemala",1972,5149581,"Americas",53.738,4031.408271
"Guatemala",1977,5703430,"Americas",56.029,4879.992748
"Guatemala",1982,6395630,"Americas",58.137,4820.49479
"Guatemala",1987,7326406,"Americas",60.782,4246.485974
"Guatemala",1992,8486949,"Americas",63.373,4439.45084
"Guatemala",1997,9803875,"Americas",66.322,4684.313807
"Guatemala",2002,11178650,"Americas",68.978,4858.347495
"Guatemala",2007,12572928,"Americas",70.259,5186.050003
"Haiti",1952,3201488,"Americas",37.579,1840.366939
"Haiti",1957,3507701,"Americas",40.696,1726.887882
"Haiti",1962,3880130,"Americas",43.59,1796.589032
"Haiti",1967,4318137,"Americas",46.243,1452.057666
"Haiti",1972,4698301,"Americas",48.042,1654.456946
"Haiti",1977,4908554,"Americas",49.923,1874.298931
"Haiti",1982,5198399,"Americas",51.461,2011.159549
"Haiti",1987,5756203,"Americas",53.636,1823.015995
"Haiti",1992,6326682,"Americas",55.089,1456.309517
"Haiti",1997,6913545,"Americas",56.671,1341.726931
"Haiti",2002,7607651,"Americas",58.137,1270.364932
"Haiti",2007,8502814,"Americas",60.916,1201.637154
"Honduras",1952,1517453,"Americas",41.912,2194.926204
"Honduras",1957,1770390,"Americas",44.665,2220.487682
"Honduras",1962,2090162,"Americas",48.041,2291.156835
"Honduras",1967,2500689,"Americas",50.924,2538.269358
"Honduras",1972,2965146,"Americas",53.884,2529.842345
"Honduras",1977,3055235,"Americas",57.402,3203.208066
"Honduras",1982,3669448,"Americas",60.909,3121.760794
"Honduras",1987,4372203,"Americas",64.492,3023.096699
"Honduras",1992,5077347,"Americas",66.399,3081.694603
"Honduras",1997,5867957,"Americas",67.659,3160.454906
"Honduras",2002,6677328,"Americas",68.565,3099.72866
"Honduras",2007,7483763,"Americas",70.198,3548.330846
"Jamaica",1952,1426095,"Americas",58.53,2898.530881
"Jamaica",1957,1535090,"Americas",62.61,4756.525781
"Jamaica",1962,1665128,"Americas",65.61,5246.107524
"Jamaica",1967,1861096,"Americas",67.51,6124.703451
"Jamaica",1972,1997616,"Americas",69,7433.889293
"Jamaica",1977,2156814,"Americas",70.11,6650.195573
"Jamaica",1982,2298309,"Americas",71.21,6068.05135
"Jamaica",1987,2326606,"Americas",71.77,6351.237495
"Jamaica",1992,2378618,"Americas",71.766,7404.923685
"Jamaica",1997,2531311,"Americas",72.262,7121.924704
"Jamaica",2002,2664659,"Americas",72.047,6994.774861
"Jamaica",2007,2780132,"Americas",72.567,7320.880262
"Mexico",1952,30144317,"Americas",50.789,3478.125529
"Mexico",1957,35015548,"Americas",55.19,4131.546641
"Mexico",1962,41121485,"Americas",58.299,4581.609385
"Mexico",1967,47995559,"Americas",60.11,5754.733883
"Mexico",1972,55984294,"Americas",62.361,6809.40669
"Mexico",1977,63759976,"Americas",65.032,7674.929108
"Mexico",1982,71640904,"Americas",67.405,9611.147541
"Mexico",1987,80122492,"Americas",69.498,8688.156003
"Mexico",1992,88111030,"Americas",71.455,9472.384295
"Mexico",1997,95895146,"Americas",73.67,9767.29753
"Mexico",2002,102479927,"Americas",74.902,10742.44053
"Mexico",2007,108700891,"Americas",76.195,11977.57496
"Nicaragua",1952,1165790,"Americas",42.314,3112.363948
"Nicaragua",1957,1358828,"Americas",45.432,3457.415947
"Nicaragua",1962,1590597,"Americas",48.632,3634.364406
"Nicaragua",1967,1865490,"Americas",51.884,4643.393534
"Nicaragua",1972,2182908,"Americas",55.151,4688.593267
"Nicaragua",1977,2554598,"Americas",57.47,5486.371089
"Nicaragua",1982,2979423,"Americas",59.298,3470.338156
"Nicaragua",1987,3344353,"Americas",62.008,2955.984375
"Nicaragua",1992,4017939,"Americas",65.843,2170.151724
"Nicaragua",1997,4609572,"Americas",68.426,2253.023004
"Nicaragua",2002,5146848,"Americas",70.836,2474.548819
"Nicaragua",2007,5675356,"Americas",72.899,2749.320965
"Panama",1952,940080,"Americas",55.191,2480.380334
"Panama",1957,1063506,"Americas",59.201,2961.800905
"Panama",1962,1215725,"Americas",61.817,3536.540301
"Panama",1967,1405486,"Americas",64.071,4421.009084
"Panama",1972,1616384,"Americas",66.216,5364.249663
"Panama",1977,1839782,"Americas",68.681,5351.912144
"Panama",1982,2036305,"Americas",70.472,7009.601598
"Panama",1987,2253639,"Americas",71.523,7034.779161
"Panama",1992,2484997,"Americas",72.462,6618.74305
"Panama",1997,2734531,"Americas",73.738,7113.692252
"Panama",2002,2990875,"Americas",74.712,7356.031934
"Panama",2007,3242173,"Americas",75.537,9809.185636
"Paraguay",1952,1555876,"Americas",62.649,1952.308701
"Paraguay",1957,1770902,"Americas",63.196,2046.154706
"Paraguay",1962,2009813,"Americas",64.361,2148.027146
"Paraguay",1967,2287985,"Americas",64.951,2299.376311
"Paraguay",1972,2614104,"Americas",65.815,2523.337977
"Paraguay",1977,2984494,"Americas",66.353,3248.373311
"Paraguay",1982,3366439,"Americas",66.874,4258.503604
"Paraguay",1987,3886512,"Americas",67.378,3998.875695
"Paraguay",1992,4483945,"Americas",68.225,4196.411078
"Paraguay",1997,5154123,"Americas",69.4,4247.400261
"Paraguay",2002,5884491,"Americas",70.755,3783.674243
"Paraguay",2007,6667147,"Americas",71.752,4172.838464
"Peru",1952,8025700,"Americas",43.902,3758.523437
"Peru",1957,9146100,"Americas",46.263,4245.256698
"Peru",1962,10516500,"Americas",49.096,4957.037982
"Peru",1967,12132200,"Americas",51.445,5788.09333
"Peru",1972,13954700,"Americas",55.448,5937.827283
"Peru",1977,15990099,"Americas",58.447,6281.290855
"Peru",1982,18125129,"Americas",61.406,6434.501797
"Peru",1987,20195924,"Americas",64.134,6360.943444
"Peru",1992,22430449,"Americas",66.458,4446.380924
"Peru",1997,24748122,"Americas",68.386,5838.347657
"Peru",2002,26769436,"Americas",69.906,5909.020073
"Peru",2007,28674757,"Americas",71.421,7408.905561
"Puerto Rico",1952,2227000,"Americas",64.28,3081.959785
"Puerto Rico",1957,2260000,"Americas",68.54,3907.156189
"Puerto Rico",1962,2448046,"Americas",69.62,5108.34463
"Puerto Rico",1967,2648961,"Americas",71.1,6929.277714
"Puerto Rico",1972,2847132,"Americas",72.16,9123.041742
"Puerto Rico",1977,3080828,"Americas",73.44,9770.524921
"Puerto Rico",1982,3279001,"Americas",73.75,10330.98915
"Puerto Rico",1987,3444468,"Americas",74.63,12281.34191
"Puerto Rico",1992,3585176,"Americas",73.911,14641.58711
"Puerto Rico",1997,3759430,"Americas",74.917,16999.4333
"Puerto Rico",2002,3859606,"Americas",77.778,18855.60618
"Puerto Rico",2007,3942491,"Americas",78.746,19328.70901
"Trinidad and Tobago",1952,662850,"Americas",59.1,3023.271928
"Trinidad and Tobago",1957,764900,"Americas",61.8,4100.3934
"Trinidad and Tobago",1962,887498,"Americas",64.9,4997.523971
"Trinidad and Tobago",1967,960155,"Americas",65.4,5621.368472
"Trinidad and Tobago",1972,975199,"Americas",65.9,6619.551419
"Trinidad and Tobago",1977,1039009,"Americas",68.3,7899.554209
"Trinidad and Tobago",1982,1116479,"Americas",68.832,9119.528607
"Trinidad and Tobago",1987,1191336,"Americas",69.582,7388.597823
"Trinidad and Tobago",1992,1183669,"Americas",69.862,7370.990932
"Trinidad and Tobago",1997,1138101,"Americas",69.465,8792.573126
"Trinidad and Tobago",2002,1101832,"Americas",68.976,11460.60023
"Trinidad and Tobago",2007,1056608,"Americas",69.819,18008.50924
"United States",1952,157553000,"Americas",68.44,13990.48208
"United States",1957,171984000,"Americas",69.49,14847.12712
"United States",1962,186538000,"Americas",70.21,16173.14586
"United States",1967,198712000,"Americas",70.76,19530.36557
"United States",1972,209896000,"Americas",71.34,21806.03594
"United States",1977,220239000,"Americas",73.38,24072.63213
"United States",1982,232187835,"Americas",74.65,25009.55914
"United States",1987,242803533,"Americas",75.02,29884.35041
"United States",1992,256894189,"Americas",76.09,32003.93224
"United States",1997,272911760,"Americas",76.81,35767.43303
"United States",2002,287675526,"Americas",77.31,39097.09955
"United States",2007,301139947,"Americas",78.242,42951.65309
"Uruguay",1952,2252965,"Americas",66.071,5716.766744
"Uruguay",1957,2424959,"Americas",67.044,6150.772969
"Uruguay",1962,2598466,"Americas",68.253,5603.357717
"Uruguay",1967,2748579,"Americas",68.468,5444.61962
"Uruguay",1972,2829526,"Americas",68.673,5703.408898
"Uruguay",1977,2873520,"Americas",69.481,6504.339663
"Uruguay",1982,2953997,"Americas",70.805,6920.223051
"Uruguay",1987,3045153,"Americas",71.918,7452.398969
"Uruguay",1992,3149262,"Americas",72.752,8137.004775
"Uruguay",1997,3262838,"Americas",74.223,9230.240708
"Uruguay",2002,3363085,"Americas",75.307,7727.002004
"Uruguay",2007,3447496,"Americas",76.384,10611.46299
"Venezuela",1952,5439568,"Americas",55.088,7689.799761
"Venezuela",1957,6702668,"Americas",57.907,9802.466526
"Venezuela",1962,8143375,"Americas",60.77,8422.974165
"Venezuela",1967,9709552,"Americas",63.479,9541.474188
"Venezuela",1972,11515649,"Americas",65.712,10505.25966
"Venezuela",1977,13503563,"Americas",67.456,13143.95095
"Venezuela",1982,15620766,"Americas",68.557,11152.41011
"Venezuela",1987,17910182,"Americas",70.19,9883.584648
"Venezuela",1992,20265563,"Americas",71.15,10733.92631
"Venezuela",1997,22374398,"Americas",72.146,10165.49518
"Venezuela",2002,24287670,"Americas",72.766,8605.047831
"Venezuela",2007,26084662,"Americas",73.747,11415.80569
